Kontiopuiston lentopallokenttä|60.361504,25.09246
As Oy Eestinmalmintie 40|60.163616,24.667534
Töölön yhteiskoulu 2013-2014|60.185265,24.92364
Leikkipaikka Rakettipuisto|60.205,25.073208
Tapanilan asema|60.26386,25.030039
Alueellinen keräyspiste, Varpusenkuja / Saviontie|60.366528,25.07082
Pohjois-Haagan opetuspiste|60.22975,24.89607
Puisto, lähivirkistysalue tai vastaava|60.309044,25.039778
Kuurojen palvelusäätiö/ Åvik|undefined,undefined
Iltapäivätoiminta / Kulosaarentien kerhotila, Sari Wicklund 2013-2014|60.18524,25.002611
Kirkkojärven koulu, työväenopiston opetuspaikka|60.20847,24.665293
Alueellinen keräyspiste, Naulakalliontie 13|60.233257,25.117615
Iltapäivätoiminta / Siltamäen ala-asteen koulu, Opetustoimi 2013-2014|60.271095,24.987747
Helsingin kaupunginorkesteri|60.17464,24.933771
Helsingin jalkapalloklubi ry:n päiväkoti Miniklubi|60.207634,24.869864
Akseli Toivosen luonnonjääkenttä|60.21328,24.950214
Muuralan Geriatrian poliklinikka|60.20247,24.653418
Ruutu-Rouva|60.161434,24.940516
Iltapäivätoiminta / Pukinmäen peruskoulu/ Immolantien sivukoulu, Liikkuva ja Leikkivä Lapsi Helsinki ry|60.260353,24.985764
Uunisaaren talviuintipaikka|60.15272,24.951946
Matinkylän ta:n hammashoitola|60.159824,24.748194
Gunnar Bärlund|60.19707,24.960949
Päiväkoti Saniainen|60.25806,25.028534
Lännen lastensuojelu Lassila 2|60.231167,24.88132
Helsingin yliopiston opetustilat|60.169746,24.948713
As Oy Kala-Maija 1|60.159164,24.740925
Korson koulun iso liikuntasali|60.358433,25.069424
Puisto, lähivirkistysalue tai vastaava|60.353783,25.068708
Oulunkylän yhteiskoulun opetuspaikka|60.235916,24.96325
Pihlajarinteen kenttä|60.234043,24.697052
Alueellinen keräyspiste, Karvasmäentie / Glimsintie|60.221535,24.683563
Kilonpuiston koulun kenttä|60.216785,24.790058
Tapiolan uimahalli, työväenopiston opetuspaikka|60.178467,24.807835
As Oy Myntinsyrjä 9|60.1973,24.593868
Eftermiddagsverksamhet / Kottby lågstadieskola /Arabia, Folkhälsan Syd Ab 2013-2014|60.202076,24.969868
Honey Monsters, englanninkielinen kieleikylpy|60.169113,24.72566
Leppäkorven uimala|60.357788,25.090982
Pohjois-Tapiolan kotihoito|60.184345,24.806702
Alueellinen keräyspiste, Korennontie 34|60.34041,25.138735
Espoon VPK|60.205715,24.64956
Toivolan koulu 2013-2014|60.240864,24.966673
Malmitalo, Kielten mikrotupa|60.250507,25.014967
Café Cavalier|60.16713,24.93058
Päiväkoti Lintukoto|60.1837,24.596
Suomenlinnan Upseerikerhon juhlahuoneisto|60.146763,24.98909
Garden City Playschool, Tapiola|60.179092,24.812263
Haukilahden uimarannan beachvolleykenttä|60.15357,24.772476
Marjatta-koulu|60.226204,24.90227
Triangle Block, Skeitattava veistos|60.172516,24.936316
Koulumuseo Lagstad|60.207825,24.65208
Malmin pienkodit|60.248005,25.009441
As Oy Espoonaukio 5|60.206757,24.659359
Pikkujärvenniityn pallokenttä / jäärata|60.27791,24.786108
Elämän nektaria|60.16323,24.900854
Iltapäivätoiminta / Lauttasaaren srk: Lauttasaaren kirkko, Helsingin seurakuntayhtymä 2013-2014|60.158806,24.869068
Ratsumiehenpuiston pallokenttä|60.28071,25.108984
Omnia, ammattiopisto Suomenoja|60.160854,24.695799
Ravintola Kalasatama (Sodexo)|60.1895,24.96988
Metropolia Helsingin ammattikorkeakoulu rakennustekniikka, opiskeluterveydenhuolto|60.18465,24.956404
Limbo|60.16471,24.94051
Puisto, lähivirkistysalue tai vastaava|60.307735,25.034746
Ung Info|60.16889,24.936827
Rajakylän koulun pallokenttä|60.25232,25.111237
Ravintola Koto|60.164448,24.934296
Tarhapuiston pallokenttä|60.32171,25.078121
Itä-Hakkilan urheilukenttä|60.293804,25.106913
As Oy Keskijuoksu 19|60.282845,24.754606
Viherkallionpuisto /asukaspuisto|60.227432,24.746141
Mäntymäen koulu|60.21309,24.715445
Yhteispalvelu- Espoonlahti|60.1495,24.655506
Havukosken matonpesupaikka|60.32123,25.083622
Reittipuiston lentopallokenttä|60.300076,24.85239
As Oy Hannuksenkuja 16|60.15439,24.70659
Pitäjänmäen Konalan korttelituvan opetuspaikka|60.233894,24.854202
Sauna-Aitta Shop|60.168667,24.936016
Alueellinen keräyspiste, Rinnekodintie  Mäenalus|60.353245,24.656115
Mäkelänrinteen lukio|60.199043,24.94865
Laaksolahden jäähalli|60.24427,24.745378
Itä-Pasilan yhteiskalliosuoja|60.19677,24.94011
Kilonkallio|60.22203,24.775826
Puisto, lähivirkistysalue tai vastaava|60.324966,25.063307
Puisto, lähivirkistysalue tai vastaava|60.332397,25.067232
Cygnaeuksen galleria|60.15934,24.959085
Heijastuksia|60.177956,24.96297
Myyrmäki -halli|60.26106,24.84142
Huvilamuseo Villa Rulludd|60.14233,24.708786
Kuraattoripalvelut / Rajatorpan koulu Variston opetuspiste|60.26738,24.81606
Gunillantien kenttä|60.168453,25.034365
Päiväkoti Pikkutylli|60.18608,24.981651
Puheterapia Leppävaaran terveysasema|60.221737,24.813969
Päiväkoti Mansikkala|60.201168,25.055819
Väriaattori|60.223896,25.070923
Burton Store Helsinki|60.186234,24.966782
Katriinan sairaalan potilaskirjasto|60.34659,24.873932
Kela, Vantaa / Maahanmuuttajien yhteispalvelutoimisto|60.290977,25.044909
Puisto, lähivirkistysalue tai vastaava|60.32671,25.075075
Puisto, lähivirkistysalue tai vastaava|60.28301,24.777723
Puisto, lähivirkistysalue tai vastaava|60.24605,25.10421
Puisto, lähivirkistysalue tai vastaava|60.31699,25.078924
Puisto, lähivirkistysalue tai vastaava|60.345863,25.060287
Eftermiddagsverksamhet / Zaches eftis, Utbildningsverket 2013-2014|60.187607,24.912785
Alueellinen keräyspiste, Takilatie 8 / Fregattitie 18|60.163273,25.063192
Perheneuvola, Vuosaaren toimipiste|60.205997,25.146605
Alueellinen keräyspiste, Veininkatu 3-5|60.242916,24.766928
Haga lågstadieskola|60.21669,24.89097
Hanasaari - ruotsalais-suomalainen kulttuurikeskus|60.164093,24.836178
Puisto, lähivirkistysalue tai vastaava|60.28858,25.040024
Yhtenäiskoulun lukio, opiskeluterveydenhuolto|60.214165,24.94132
Solvallan urheiluopisto|60.293457,24.558159
Ravintola Hestia, Arabianrannan Portaali (Sodexo)|60.208115,24.978302
Puisto, lähivirkistysalue tai vastaava|60.32212,25.06551
Rastaalan koulu liikuntasali|60.23201,24.769785
Alueellinen keräyspiste, Heinästie 19|60.261612,24.562904
Silkkiniityn latu|60.180523,24.806814
My o My|60.165115,24.944561
Alueellinen keräyspiste, Nimismiehenpelto 1|60.214977,24.65278
Leikkipaikka Pajalahden puisto|60.15804,24.884125
Puheterapia Leppävaara|60.220703,24.813055
Puisto, lähivirkistysalue tai vastaava|60.295094,25.11075
Iltapäivätoiminta / Sonera Stadium, Helsingin Jalkapalloklubi ry 2013-2014|60.187767,24.922642
Daghemmet Alexia|60.16949,24.95763
Liljapuiston pallokenttä|60.291172,25.024443
Päiväkoti Alppiruusu|60.18612,24.947319
As Oy Säterinkatu 16|60.21402,24.80218
Alueellinen keräyspiste, Saarnaajantie 28|60.23689,24.938538
Sinebrychoffin taidemuseo|60.162518,24.932499
Kivivuoren lentopallokenttä|60.281155,24.859325
Helsingin kansainvälisen koulun lukio, opiskeluterveydenhuolto|60.160614,24.91563
Marian sairaala|60.16744,24.922728
Alueellinen keräyspiste, Kotimäentie|60.26535,24.52271
Metropolia Hgin amk kulttuuriala esittävä taide ja viestintä, opiskeluterveydenhuolto|60.21437,24.980137
Topparoikan koira-aitaus|60.230618,24.817167
Puisto, lähivirkistysalue tai vastaava|60.313774,25.042171
Fem.|60.184525,24.953611
Puolutusvoimien johtamisjärjestelmäkeskus|60.208908,24.751785
Helsingin Asumisoikeus Oy|60.200024,25.046515
Koulu- ja opiskeluterveydenhuolto / Rajatorpan koulu Variston opetuspiste|60.26738,24.81606
As Oy Kylänportti 15|60.23941,24.700323
Myllerrys|60.195076,24.953398
Ravintola Juuri|60.163906,24.946455
Alueellinen keräyspiste, Myllypurontie 8|60.22498,25.074282
LeBonk|60.16736,24.93917
Länsimäentien I koira-aitaus|60.252693,25.113459
Markkinaoikeus|60.200172,24.940697
Alueellinen keräyspiste, Kuninkaanmäentie / Vanha Porvoontie 275|60.307583,25.114988
Scandic Paasi|60.178814,24.947582
Onnentäyttymys|undefined,undefined
Leikkipaikka Talinlehto|60.21558,24.863464
Olari, kirjastoautopysäkki|60.176823,24.733992
Kierrätyspiste, Siwa Kivistö|60.323074,24.838804
Myllypuron koirapuisto|60.22524,25.061165
Alueellinen keräyspiste, Tähtimöntie 24|60.30664,25.037659
Kouluravintola, Nurkkatien aa, monitoimitalo|60.27094,25.057022
Koulu- ja opiskeluterveydenhuolto / Leija yrityspalvelukeskus|60.288795,24.95397
Kiasman WLAN-tukiasema|60.17105,24.935904
Helsingin lautakunnat ja johtokunnat|60.16816,24.952932
Maunulan Helander-koti, Lehmuskoti|60.23431,24.938759
Alueellinen keräyspiste, Kalliorinne 2|60.195213,24.663176
Kela, Helsinki / Käpylä|60.208824,24.94739
Järvenperän kenttä|60.244095,24.713009
Vartiokylän yläasteen koulu 2013-2014|60.213825,25.098732
Iltapäivätoiminta / Maunulan ala-aste, Opetustoimi 2013-2014|60.22817,24.929369
Iltapäivätoiminta / Mikaelin srk: Mikaelinkirkko, Helsingin seurakuntayhtymä 2013-2014|60.235626,25.08768
Kabuki|60.167088,24.923952
Vartiokylän työväentalo|60.213093,25.092327
Iltapäivätoiminta / Ruskeasuon koulu, Varhaiskasvatustoimi 2013-2014|60.203804,24.907368
Pirkkolan liikuntapuiston jäähalli 1|60.232018,24.913153
Elokuvateatteri Orion|60.166645,24.932959
Suomenlinnan ala-aste, kouluterveydenhuolto|60.146976,24.987812
Varistonniityn lentopallokenttä|60.270653,24.813908
Iltapäivätoiminta / Maatullin ala-aste, Opetustoimi|60.274506,25.02732
Espoonlahden kuntorata|60.146595,24.656904
Helsingin ammattikorkeakoulu, Tekniikka ja liikenne|60.163097,24.931507
Ilolan koulun liikuntasali|60.326603,25.02561
Omnia, aikuisopisto Suomenoja|60.160854,24.695799
Puisto, lähivirkistysalue tai vastaava|60.27911,24.950748
Premier Park|60.3495,25.422623
Alueellinen keräyspiste, Kaunispääntie / Siltapolku|60.23333,25.127108
Kilon koulu ja päiväkoti|60.209965,24.774971
Puisto, lähivirkistysalue tai vastaava|60.289062,25.02332
Puisto, lähivirkistysalue tai vastaava|60.29614,25.064823
Pikkuakatemian päiväkoti|60.219692,24.714142
Voima ja herkkyys|60.193565,24.910604
Nuorten leikki|60.19569,24.955631
Puisto, lähivirkistysalue tai vastaava|60.2478,24.78197
Varia  /  myyrmäen opetusyksikön koripallokenttä|60.266373,24.860165
Kauppakeskus Ruoholahti|60.16375,24.910362
Tuuliatuu Second Hand Shop|60.173824,24.953697
International Childcare and Education center|60.166924,24.78926
Puisto, lähivirkistysalue tai vastaava|60.33487,25.053696
Helsingin Messukeskus|60.201992,24.936764
Kuutamon päiväkoti|60.174564,24.72583
Puisto, lähivirkistysalue tai vastaava|60.343475,25.07832
Ristihaanpuisto|60.20404,24.713215
Nibertsin päiväkoti, kirjastoautopysäkki|60.274944,24.748972
Ystävyyspäivän muistokivi|60.1754,24.94386
Leikkipaikka Merikasarminpuisto|60.16806,24.974043
Alueellinen keräyspiste, Voimalantie 1-3|60.2858,24.839945
Alueellinen keräyspiste, Malminkorpi 2|60.180683,24.677307
Kuoleva Soturi|60.189236,25.002989
Leikkipaikka Vallilanlaakso|60.201412,24.95072
Nuuksion koulun kenttä|60.2617,24.563047
Kalajärven skeittialue|60.307835,24.733814
Viertolan koira-aitaus|60.288776,25.023518
Olarin koira-aitaus|60.17718,24.729359
Iltapäivätoiminta / Pakilan srk: Torpparinmäen peruskoulu / korttelitalo, Helsingin seurakuntayhtymä|60.25872,24.950687
Tillinmäenkenttä|60.168835,24.62614
Pursilahdenaltaan venesatama|60.200577,25.146526
Keidas|60.20141,24.966587
Finno skola liikuntasali|60.16268,24.701239
Mårtensbro daghem och förskola|60.151573,24.655682
Caruzello Linnanmäellä|60.18835,24.940538
Koivikkopuiston pallokenttä|60.283676,24.859621
Alueellinen keräyspiste, Kytökuja 1|60.271328,24.99369
Puisto, lähivirkistysalue tai vastaava|60.311886,25.019953
Kontulan askartelupaja|60.238354,25.083698
Vindängens skola|60.170918,24.79916
Alueellinen keräyspiste, Leppätie 6|60.32836,25.056364
Iltapäivätoiminta / Oulunkylän srk: Oulunkylän kirkko, Helsingin seurakuntayhtymä|60.230934,24.959301
Lystimäenpuisto|60.17559,24.750793
Kimokujan koulun pallokenttä|60.277805,25.102901
Kastelholmantien yhteiskalliosuoja|60.21294,25.078077
Alueellinen keräyspiste, Nupurintie / Karhuniityntie|60.225735,24.620655
As Oy Ruorikuja 1|60.147057,24.654345
Kierrätyspiste, Biltema Oy Helsinki|60.286926,25.015905
Etelä-Suomen maanmittaustoimisto, Helsinki / Pasila|60.198975,24.936138
Räntty (saari)|60.120354,24.961527
Laajasalon ryhmäkoti|60.167587,25.041119
Kivi|60.206673,25.160528
Ekomarket Ruohonjuuri|60.170414,24.932861
HUS-Röntgen Leppävaaran terv.asema|60.221737,24.813969
Pääkaupunkiseudun verotoimisto, In To -palvelupiste Suomeen tuleville työntekijöille|60.16879,24.929766
Helsingin Yliopiston Viikin normaalikoulu, kouluterveydenhuolto|60.22776,25.029861
Kilo svenska lekskola|60.22101,24.781624
Puisto, lähivirkistysalue tai vastaava|60.337032,25.075027
Vire Koti Aallonhuippu|60.150566,24.637835
Kahluuallas, Leikkipuisto Lehdokki|60.198387,24.94654
Puisto, lähivirkistysalue tai vastaava|60.29081,24.865068
Koulu- ja opiskeluterveydenhuolto / Koivukylän koulu|60.324913,25.076609
Havukosken koulun koripallokenttä|60.318424,25.07967
Myyrmäen toimintakeskuksen kenttä|60.25825,24.860832
Vire koti Aallonhuippu|60.150917,24.637884
Puisto, lähivirkistysalue tai vastaava|60.309856,25.026953
Puisto, lähivirkistysalue tai vastaava|60.285446,25.071997
YritysHelsinki|60.172466,24.94772
Iltapäivätoiminta / Hietakummun ala-aste, Opetustoimi|60.24671,25.016392
Puisto, lähivirkistysalue tai vastaava|60.276096,25.106674
Toimintaterapia Muurala ja Suvela|60.203487,24.654652
Tropicario - trooppinen eläintalo|60.193707,24.956175
Kannbro gruppfamiljedaghem|60.206425,24.652763
Puisto, lähivirkistysalue tai vastaava|60.356262,25.061357
Saga Care Finland Oy|undefined,undefined
Tila-galleria|60.164577,24.931145
Makasiinit/Kiasma E, WLAN-tukiasema|60.172615,24.935343
Alueellinen keräyspiste, Impilahdentie / Nuotiotie|60.21009,24.804188
Puisto, lähivirkistysalue tai vastaava|60.33377,25.06575
Koulu- ja opiskeluterveydenhuolto / Ylästön koulu|60.282528,24.908844
Puisto, lähivirkistysalue tai vastaava|60.266087,24.886362
Puisto, lähivirkistysalue tai vastaava|60.319714,25.107069
Puisto, lähivirkistysalue tai vastaava|60.304436,25.109262
Lasilaakso, kirjastoautopysäkki|60.183563,24.581009
Alueellinen keräyspiste, Vanha Kirkkotie / Nöykkiönkatu|60.156483,24.662312
As Oy Kulkurinmäki 1/Mustanotko 3|60.205177,24.62614
Simonkallion koripallokenttä|60.307594,25.023478
Katajanokan väestöhälytin|60.168667,24.960693
Kämp Galleria|60.167953,24.94598
Korson palokalustosuojan lentopallokenttä|60.353455,25.078815
Uunisaaren uimaranta|60.15272,24.951946
Vilskeen päiväkoti, kirjastoautopysäkki|60.19265,24.769068
Musiikkiopisto, Viertola|60.291996,25.021152
Suomenlinnan pelastusasema|60.146297,24.99152
Surrealistinen juhannussalko|60.20788,25.142105
HUS-Apuvälinekeskus|60.20492,24.89952
Leikkipaikka Laivastopuisto|60.168713,24.96835
Valtimonteatteri|60.189037,24.955082
Villa Jyränkö (Palmia)|60.18724,24.930466
Toimintaterapia Nöykkiö ja Latokaski, Kantokasken koulu|60.180332,24.663328
Kierrätyspiste, Jare House Oy|60.27211,24.808516
Seponkentän leikkipaikka|60.186317,24.792614
Porolahden peruskoulu ala-aste, kouluterveydenhuolto|60.19485,25.051573
Jokivarren koulu/ siirtyvä hoitola|60.346825,25.11243
Puisto, lähivirkistysalue tai vastaava|60.317703,25.004486
Alueellinen keräyspiste, Uussillantie 12 / Uussillanrinne|60.229088,25.116013
Eftermiddagsverksamhet / Sockenbacka lågstadieskola, Petrus församling, Helsingfors kyrkliga samfällighet|60.229046,24.849874
As Oy Kalaonnentie 5|60.156864,24.729815
Villa Gyllenberg|60.183956,24.852009
Alueellinen keräyspiste, Bembölentie 1|60.21455,24.713087
Pakinkylän VPK|60.24024,24.92705
Suomenlinnan Liikenne Oy|60.16708,24.974476
Kahluuallas, Leikkipuisto Kipinäpuisto|60.235744,25.063025
Kallionkujan päiväkoti|60.212612,24.770533
Juvanpuiston koulu liikuntasali 2|60.277905,24.753143
Puisto, lähivirkistysalue tai vastaava|60.322468,25.010315
Kierrätyspiste, Akkukellari Oy/Ab|60.250454,25.173834
Pajamäen luonnonjääkenttä|60.21909,24.848476
Pikkukosken talviuintipaikka|60.2278,24.98226
Autismisäätiö/ Puotilan ryhmäkoti|60.214294,25.095703
Robert's Coffee|60.171112,24.94711
Kallahden kainalon uimaranta|60.19887,25.130617
Koulu- ja opiskeluterveydenhuolto / Lumon lukio|60.35201,25.07662
Humanistinen ammattikorkeakoulu HUMAK, opiskeluterveydenhuolto|60.2211,24.90501
Puisto, lähivirkistysalue tai vastaava|60.287834,25.012924
As Oy Matinkatu 7|60.158386,24.741325
Pirkkolan liikuntapuiston kuntorata 560 m|60.231346,24.914436
As Oy Eestinlaakso 10|60.167103,24.677944
Puisto, lähivirkistysalue tai vastaava|60.260838,24.808815
WOA|60.16525,24.94213
Lahnuksen lentopallokenttä|60.315506,24.714556
Puisto, lähivirkistysalue tai vastaava|60.25259,24.80536
Fuuga|60.179283,24.922338
Puisto, lähivirkistysalue tai vastaava|60.280235,25.106
Iltapäivätoiminta / Herttoniemen srk: Kulosaaren seurakuntatalo, Helsingin seurakuntayhtymä 2013-2014|60.184307,25.011007
Ombrellino|60.168095,24.944304
Heikinlaakson koirapuisto|60.2643,25.067127
Leikkipaikka Haltialan kartano|60.275326,24.953789
Espoonlahden urheilupuisto|60.146347,24.664413
Iltapäivätoiminta / Laakavuoren toimintakeskus, Kansallinen Lastenliitto - Helsingin piirijärjestö ry|60.239296,25.109514
Pirkkolan liikuntapuiston luonnonjääkenttä|60.23195,24.915012
Iltapäivätoiminta / Hietakummun ala-aste, Opetustoimi 2013-2014|60.24671,25.016392
Mattolaituri Taivallahti|60.175446,24.912691
Alueellinen keräyspiste, Pallaksentie 2|60.23805,25.111097
Pohjois-Haagan yhteiskoulun lukio, opiskeluterveydenhuolto|60.227016,24.897505
Gåsgrundet|60.09432,24.751535
Iltapäivätoiminta / Munkkiniemen srk: Munkkivuoren kirkko, Helsingin seurakuntayhtymä|60.206184,24.875208
Kierrätyspiste, Hiihtäjäntie 2 A|60.194572,25.027578
As Oy Tiistinkallio 6|60.154236,24.726036
Puisto, lähivirkistysalue tai vastaava|60.280254,24.787611
Metsämaan lentopallokenttä|60.301346,24.755571
Jorvi, kirjastoautopysäkki|60.22003,24.692743
Puisto, lähivirkistysalue tai vastaava|60.24543,25.114481
Idän päihdepalvelut/korvaushoito|60.205997,25.146605
Galleria Myymälä2|60.163998,24.93853
Alueellinen keräyspiste, Lahnatie / Kampelatie|60.16421,24.767216
Merisotakoulu|60.149544,24.979025
Palvelutalo Hopeakuu|60.17213,24.721636
Eläintarhanlahden venesatama|60.17994,24.94104
Kahluuallas, Leikkipuisto Linnunrata|60.281326,25.00598
Maunulan ala-aste, kouluterveydenhuolto|60.22817,24.929369
Leinikkitie 36:n koripallokenttä|60.312664,25.02824
Kauklahden kotihoito|60.190014,24.5945
Henkilöstö- ja lakiasiat yksikkö|60.18327,24.95873
Kouluravintola, Hiidenkiven pk|60.262794,25.019796
Puisto, lähivirkistysalue tai vastaava|60.284046,25.051622
Eteläinen alueopisto|60.16189,24.90419
HUS-Röntgen Myyrmäen terveysasema|60.26059,24.856197
Trämanskärrin luontopolku|60.314774,24.742714
As Oy Vanha Maantie 5|60.22166,24.808737
Leikkipaikka Risto Rytin puisto|60.187107,25.01483
Laaksolahden urheilupuisto|60.24427,24.745378
Tove Janssonin muistolaatta|60.163242,24.94759
Puisto, lähivirkistysalue tai vastaava|60.28946,25.020517
Hankintayksikkö 2013-2014|60.18327,24.95873
Alueellinen keräyspiste, Hakunilantie 76|60.286808,25.123466
Päävartio|60.168846,24.957632
Alueellinen keräyspiste, Katiskatie 2|60.197308,25.11379
Leikkipaikka Valpurinpuisto|60.193073,24.901197
Pirkkolan liikuntapuiston uimahalli|60.232197,24.910662
Santahaminan koirapuisto|60.149822,25.050476
Alueellinen keräyspiste, Tuurinmäentie 1|60.18781,24.728405
Mattolaituri Lauttasaari|60.170517,24.858248
Puisto, lähivirkistysalue tai vastaava|60.289303,25.099974
Paasipuiston pallokenttä / jäärata|60.31924,24.839365
Mikaelinkirkko|60.235626,25.08768
Esperi Care /Hoivakoti Villa Lyhde|60.227524,24.729485
Pellavan päiväkoti, kirjastoautopysäkki|60.236347,24.817495
Kustaankartanon palvelukeskuksen opetuspaikka|60.22953,24.94927
Ruusulinnan hammashoitola|60.21489,24.806665
Puisto, lähivirkistysalue tai vastaava|60.333023,25.019316
Alueellinen keräyspiste, Puhuritie 1|60.167706,25.080528
Korson koulun koripallokenttä|60.358063,25.069477
Pähkinärinteen koulun liikuntasali|60.257324,24.806072
Karhusuon koulu, työväenopiston opetuspaikka|60.228462,24.62048
Helios|60.1554,24.955418
Herttoniemen väestöhälytin|60.19709,25.042831
Mattlidens skola liikuntasali|60.163956,24.748865
Kulosaaren yhteiskoulu, kouluterveydenhuolto|60.18717,25.003601
Leikkipaikka Annala|60.21203,24.97729
Arkkienkeli Mikael|60.23566,25.087103
Pakilan yläaste, kouluterveydenhuolto|60.241898,24.92793
Kierrätyskeskus|60.31709,25.061464
Alueellinen keräyspiste, Kilonpuistonkatu 14|60.216618,24.781744
Kalliolaakso|60.28543,24.740469
Friisilän koulu liikuntasali|60.16958,24.707876
Palstaviljelyalue Martinlaakso Seura ry|60.27266,24.830214
Fishing Lords|60.22088,24.943636
Alueellinen keräyspiste, Toppelundinportti 3|60.16227,24.785707
Puisto, lähivirkistysalue tai vastaava|60.322437,24.873064
Lähiöliikuttajat Jakomäki/Tapulikaupunki|60.22524,25.076681
Kela, Espoo / Leppävaaran yhteispalvelu|60.21713,24.809576
Iltapäivätoiminta / Steiner-koulu, Helsingin Rudolf Steiner-koulun kannatusyhdistys - Understödsföreningen för Rudolf Steiner Skolan i Helsingfors r.y.|60.20033,24.903807
Marsalkka Mannerheimin ratsastajapatsas|60.171555,24.93639
Haaga 2 lähipalvelualue|60.2056,24.894722
Popot|60.163994,24.942492
Auroranniitty asuntopäiväkoti|60.23511,24.717348
Alueellinen keräyspiste, Kolkekannaksentie / Heiniemenpolku|60.235046,24.716139
Glöd Bar & Grill|60.166416,24.945477
Mustikkamaan lipunmyynti|60.179802,24.982718
Puisto, lähivirkistysalue tai vastaava|60.293587,25.022057
Wanha Satama Ravintolat|60.165535,24.967487
Jousenkaaren koulu liikuntasali|60.17555,24.787495
Puisto, lähivirkistysalue tai vastaava|60.320316,25.009354
Siltalanpuiston koirapuisto|60.26894,24.987007
As Oy Maininkitie 5|60.15155,24.646608
Alueellinen keräyspiste, Kimmontie 4|60.210186,24.940968
Kontulan kuntokellarin voimailusali|60.238354,25.083698
Leikkipaikka Ohjaajanpuisto|60.227493,24.88913
Aurorakoti 2|60.236702,24.705854
Älä jännitä|60.239586,24.992252
Käpylän peruskoulu, ala-asteen sivukoulu (luokat 1-2), kouluterveydenhuolto|60.20698,24.960901
Meilahden yläasteen koulu 2013-2014|60.194187,24.89829
Lähderannan kuntosali|60.240917,24.739483
Ateljee Bar|60.167778,24.938667
Puisto, lähivirkistysalue tai vastaava|60.28138,24.909409
Puisto, lähivirkistysalue tai vastaava|60.3459,25.082834
Alueellinen keräyspiste, Kaskenpolttajantie / Ohrakaskenmäki|60.17464,24.661926
Laaksolahden jalkapallohalli|60.24427,24.745378
Alueellinen keräyspiste, Aniskuja 2 A|60.300064,25.03586
Puisto, lähivirkistysalue tai vastaava|60.344494,25.096106
Iltapäivätoiminta / Yhtenäiskoulu, Opetustoimi  2013-2014|60.214165,24.94132
Länsi-Pasilan ala-asteen koulu|60.198906,24.924473
Koulu- ja opiskeluterveydenhuolto / Viertolan koulu|60.292007,25.021368
Myyrmäen urheilutalon palloiluhalli|60.26525,24.851316
Kierrätyspiste, Vantaanrinne 14|60.301006,24.857033
Puisto, lähivirkistysalue tai vastaava|60.356476,25.079836
Hakunilan koulun kuntosali|60.274265,25.097614
Puisto, lähivirkistysalue tai vastaava|60.254295,24.797476
Katos vaan|60.190548,25.03192
Krulla's Wiener Kaffeehaus|60.16584,24.936184
Leikkipaikka Varhelanpuisto|60.240593,25.103598
Leikkipaikka Maistraatinpuisto|60.198322,24.923592
Leikkipaikka Kiillepuisto|60.23429,25.00469
Kolme seppää|60.168686,24.941097
Eftermiddagsverksamhet / Rudolf Steinerskolan i Helsingfors, Helsingin Rudolf Steiner-koulun kannatusyhdistys - Understödsföreningen för Rudolf Steiner Skolan i Helsingfors r.y. 2013-2014|60.20033,24.903807
Alueellinen keräyspiste, Kaupintie 19|60.228107,24.87397
Vire Koti Sofia ja Severi|60.204098,24.951347
Puisto, lähivirkistysalue tai vastaava|60.272724,25.112715
Päiväkoti Koskela|60.216835,24.960455
Leikkipaikka Heinäpellonpuisto|60.25786,25.009262
Toimintaterapia Kilon päiväkoti|60.209255,24.77007
Rajametsäntien opetushuoneisto|60.228878,24.932867
Omnia, audiopaja|60.22694,24.729292
As Oy Niipperintie 97|60.304558,24.741745
Helsingin tekniikan alan oppilaitos, Vallilan yksikkö|60.193428,24.953184
Laajasalon uimaranta|60.17695,25.062805
Helsingin tekniikan alan oppilaitos, Haagan yksikkö, logistiikka-ala 2013-2014|60.21287,25.055063
Kouluravintola, Kottby ls|60.217438,24.956486
HUS-Röntgen Töölön sairaala|60.18128,24.922369
Fun Bowling|60.186817,24.947588
Roineenpuiston koirapuisto|60.192413,24.954824
Elintarvikevalvonta, eläinlääkäri|60.225,25.015894
Herttoniemen sairaalan fysioterapia|60.20734,25.03693
Villa Junghans|60.207104,24.727922
Lassilan liikuntapuisto|60.233425,24.87691
Toimintaterapia Jupperin, Karakallio, Laaksolahti, Lippajärvi, Lähderanta ja Viherlaakso|60.227127,24.811665
Kasvu|60.185284,25.008738
Käsityöpaja|60.29122,25.041365
Metropolia, Vanhan maantien toimipiste|60.22169,24.805561
Puisto, lähivirkistysalue tai vastaava|60.32964,25.068457
Riilahden toimintakeskus|60.14282,24.678596
Helinä Rautavaaran museo|60.17853,24.795025
Lagstads skola liikuntasali 1|60.20751,24.656574
Kulloonmäen ryhmäperhepäiväkoti|60.24651,24.713024
Ravintola Haaga Inn|60.218193,24.906713
Espoonlahden urheilupuiston skeittialue|60.144863,24.660612
Lauttasaaren ala-aste, kouluterveydenhuolto|60.15734,24.877213
Kilo, matonpesupaikka|60.222385,24.773712
Daghemmet Axel|60.16744,24.922728
Naulakallion koulu, kouluterveydenhuolto|60.233135,25.11702
Lahnuksen koulu|60.31043,24.707218
Håkansbölen kartano|60.274387,25.11368
Mediakeskus Lume, Taideteollinen korkeakoulu|60.208977,24.976768
