Kontiopuiston lentopallokenttä|60.361504,25.09246
Päiväkoti Hanna|60.2075,25.136837
Päiväkoti Porslahti|60.219135,25.148323
Päiväkoti Lammikko|60.241444,25.083616
Botby daghem|60.20759,25.082935
Ryhmäperhepäiväkoti Jolla|60.16027,24.916351
Maahanmuuttoyksikkö|60.17338,24.930513
Asumisen tuki|60.18139,24.946894
Lännen psykiatria- ja päihdekeskus/Päihdepalvelut|60.184864,24.91535
Ryhmäperhepäiväkoti Peukaloinen|60.16556,24.924839
Viikin palveluasumisryhmä|60.234123,25.035751
Tukiperhe- ja lomatoiminta|60.18139,24.946894
Koskelan ryhmäkoti|60.21832,24.971386
Metsäpuron ryhmäkoti|60.231247,24.92763
Daghemmet Minerva Förskola|60.17577,24.925644
Kannelmäen nuorisokoti|60.24137,24.87964
Työhön kuntoutus/Pakilan työkeskus|60.24294,24.94443
Etelän päihdepalvelut/polikliininen toiminta|60.18773,24.96305
Ryhmäperhepäiväkoti Tiikeri, varakoti|60.266968,24.989536
Työhön kuntoutus/UUSIX-verstaat|60.199158,24.97216
Pohjoisen päihdepalvelut/ polikliininen toiminta Maunula|60.234787,24.936104
Päiväkoti Leskenlehti|60.231262,25.033005
Mäkitorpan nuorisokoti|60.227936,24.952917
Metsälän vastaanottokeskus|60.21921,24.934908
Hyvösen ryhmäkoti|60.19267,24.943415
Leikkipuisto Viikkari|60.22951,25.032553
Helsingin keskuslaitos, Sofianlehto|60.20457,24.948858
Karviaismäen ryhmäkoti|60.24681,25.008718
Ryhmäperhepäiväkoti Pikkulintu|60.263947,25.035585
Teinilän hoitokoti|60.23324,24.950924
Kustaankartanon monipuolinen palvelukeskus|60.22859,24.947287
Kestikujan ryhmäkoti|60.231693,24.976753
Ryhmäperhepäiväkoti Taimi|60.231575,25.031544
Roihuvuoren monipuolinen palvelukeskus|60.203407,25.063324
Kestilän ryhmäkoti|60.16069,24.913792
Toivolan oppilaskoti|60.24184,24.964867
Naulakallion Etappi|60.233063,25.11415
Riistavuoren monipuolinen palvelukeskus|60.217216,24.887
Päiväkoti Kissankello|60.22979,25.032047
Naulakallion hoitokoti|60.233063,25.11415
Kontulan monipuolinen palvelukeskus|60.243156,25.087032
Päiväkoti Tähtitorni|60.16098,24.949629
Päiväkoti Tähkä|60.226498,25.026342
Kontulan monipuolinen palvelukeskus/Päivätoiminta Pihla ja Päivikki |60.243496,25.08474
Ympärivuorokautinen vieroitushoito|60.19168,24.939901
Kannelmäen palvelutalo/Urkuri päivätoiminta|60.24266,24.875124
Leikkipuisto Puuskakulma|60.1644,25.0751
Pasilan ryhmäkoti|60.216835,24.960455
Malmin toimintakeskus |60.251198,25.007763
Ruusulan ryhmäkoti|60.182186,24.925
Kumppanuustalo Harjula|60.189083,24.959156
Siltavuoren ryhmäkoti|60.198215,24.93951
Haavikon opetus- ja aikuiskoulutuskeskus|60.230305,24.930826
Vammaisten sosiaalityön itäinen toimipiste|60.20873,25.083479
Solakallion ryhmäkoti|60.240093,24.965427
Karviaismäen toimintakeskus|60.246037,25.004223
Toimintakeskus Cäpsä|60.21194,24.953373
Lännen sosiaali- ja lähityö|60.231167,24.88132
Tilkan ryhmäkoti|60.20402,24.89498
Toimintakeskus Tanhua|60.23595,25.09786
Etelän etuuskäsittely 2|60.16822,24.92685
Tyynelän ryhmäkoti|60.174454,24.917593
Tähtelän ryhmäkoti|60.20755,24.947844
Pasilan toimintakeskus|60.198727,24.944593
Vammaisten sosiaalityön eteläinen toimipiste|60.18139,24.946894
Idän sosiaali- ja lähityö|60.2235,25.075596
Vallilan ryhmäkoti|60.191597,24.963894
Tuetun työllistymisen palvelu|60.16822,24.92685
Etelän sosiaali- ja lähityö|60.16822,24.92685
Veräjän ryhmäkoti|60.231693,24.976753
Pohjoisen etuuskäsittely 2|60.234787,24.936104
Pohjoisen sosiaali- ja lähityö|60.234787,24.936104
Wetterin ryhmäkoti|60.170506,25.03707
Tyynelän toimintakeskus|60.174454,24.917593
Roihuvuoren monipuolinen palvelukeskus/Liina päivätoiminta|60.203407,25.063324
Solinan ryhmäkoti|60.196434,24.893328
Rastilankallion ryhmäkoti|60.20586,25.124695
Vallilan työ- ja valmennuskeskus|60.196373,24.9413
Vammaisten sosiaalityön pohjoinen toimipiste |60.25048,25.012945
Päivölän ryhmäkoti|undefined,undefined
Vattuniemen ryhmäkoti|60.153126,24.888048
Ruoholan ryhmäkoti|60.161476,24.919842
Pohjoisen päihdepalvelut/polikliininen toiminta Malmi|60.248005,25.009441
Itäinen Nuorisoasema|60.21093,25.07977
Naulakallion asumisharjoittelu|60.233063,25.11415
Kampin palvelukeskus|60.185577,24.962152
Kontulan monipuolinen palvelukeskus/Palvelukeskus|60.243156,25.087032
Helsingin säilöönottoyksikkö|60.21921,24.934908
Kannelmäen nuorisokoti /asumisharjoittelu|60.24137,24.87964
Kannelmäen palvelutalo|60.24266,24.875124
Tukihenkilötoiminta|60.18139,24.946894
Kallion toimipiste, Pari- ja perheterapia|60.179405,24.94924
Metsälän vastaanottokeskuksen yksityismajoituksen palvelupiste|60.21921,24.934908
Idän neuvolat ja lapsiperheiden kotipalvelu|60.20873,25.083479
Munkkiniemen palvelukeskus/Meilahden virkistys |60.189045,24.889673
Perhepäivähoito Itäkeskus-Marjaniemi-Myllypuro|60.207832,25.080122
Kumppanuustalo Hanna |60.190247,24.948032
Perhepäivähoito Puotila-Puotinharju-Vartioharju|60.207832,25.080122
Munkkiniemen palvelukeskus|60.201553,24.876307
Perhepäivähoito Kaarela|60.239784,24.880081
Punavuoren asukastalo Betania |60.15969,24.934397
Brahen palvelutalo|60.189915,24.946573
Perhepäivähoito Suutarila|60.28052,25.006884
Hopeatien palvelutalo|60.228874,24.886238
Naulakallion päiväosasto|60.233063,25.11415
